FUENTE DE FINANCIAMIENTO,PROYECTO,CAPITULO,PARTIDA,DIVISION,DEPARTAMENTO,DESCRIPCION,INICIAL,ADECUACIONES,TRANSFERENCIAS,MODIFICADO,PRECOMPROMETIDO,COMPROMISO,GASTO,DISPONIBLE
Subsidio federal,51101001,SG,3720402,RUL,ORUL,Peajes,84000,0,0,84000,5000,0,37000,47000
Subsidio federal,51101001,SG,3750401,RUL,ORUL,Viáticos en Territorio Nacional,37500,0,0,37500,0,0,22682,14818
Subsidio federal,51101001,SG,3760201,RUL,ORUL,Viáticos en el extranjero,44100,0,0,44100,0,0,25085.81,19014.19
Subsidio federal,51101001,SG,3820101,RUL,ORUL,Gastos de orden social y cultural,0,0,13924,13924,0,0,13924,0
Subsidio federal,51101001,SG,3850101,RUL,ORUL,Gastos de representación,24000,0,0,24000,0,0,21930.3,2069.7
Subsidio federal,51101001,SG,3920201,RUL,ORUL,Otros impuestos y derechos,24000,0,0,24000,0,0,739,23261
Subsidio federal,51101001,BMII,5150101,RUL,ORUL,Equipo de cómputo y de tecnologías de la información,20000,0,-20000,0,0,0,0,0
Subsidio federal,51101003,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,300000,0,-217067.86,82932.14,0,0,0,82932.14
Subsidio federal,51101003,MS,2460101,RUL,ORUL,Material eléctrico y electrónico,0,0,14132,14132,14131.59,0,14131.59,0.41
Subsidio federal,51101003,MS,2480101,RUL,ORUL,Materiales complementarios,0,0,9190,9190,9087.9,0,9087.9,102.1
Subsidio federal,51101003,BMII,5110101,RUL,ORUL,Mobiliario,0,0,193745.86,193745.86,193745.8,0,193745.8,0.06
Ingresos propios adecuables,51101052,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,0,659458.34,-197923.02,461535.32,0,0,0,461535.32
Ingresos propios adecuables,51101052,MS,2210401,RUL,ORUL,Productos alimenticios para el personal en las instalaciones,0,0,30274.02,30274.02,0,0,12896.03,17377.99
Ingresos propios adecuables,51101052,MS,2710102,RUL,ORUL,Uniformes Deportivos,0,0,167648,167648,0,0,167648,0
Ingresos propios adecuables,51101052,BMII,5150101,RUL,ORUL,Equipo de cómputo y de tecnologías de la información,0,0,120968.37,120968.37,0,0,0,120968.37
Remanentes,51101055,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,0,247557.87,77937.75,325495.62,0,0,0,325495.62
Remanentes,51101055,MS,2150203,RUL,ORUL,Libros adquiridos,0,20000,0,20000,0,0,0,20000
Remanentes,51101055,MS,2160101,RUL,ORUL,Material de limpieza,0,10000,0,10000,0,0,0,10000
Remanentes,51101055,MS,2210401,RUL,ORUL,Productos alimenticios para el personal en las instalaciones,0,16846.26,100000,116846.26,70742.6,0,106831.95,10014.31
Remanentes,51101055,MS,2540101,RUL,ORUL,"Materiales, accesorios y suministros médicos.",0,10000,0,10000,0,0,0,10000
Remanentes,51101055,MS,2550101,RUL,ORUL,"Materiales, accesorios y suministros de laboratorio",0,145267.68,0,145267.68,0,0,0,145267.68
Remanentes,51101055,MS,2730101,RUL,ORUL,Material y Equipo para practicas deportivas,0,18541,0,18541,0,0,0,18541
Remanentes,51101055,SG,3190201,RUL,ORUL,Contratación de otros servicios,0,1,0,1,0,0,0,1
Remanentes,51101055,SG,3360401,RUL,ORUL,Impresión y elaboración de material informativo derivado de la operación y administración,0,1,0,1,0,0,0,1
Remanentes,51101055,SG,3360590,RUL,ORUL,Difusión y promoción,0,100000,0,100000,0,0,0,100000
Remanentes,51101055,SG,3510101,RUL,ORUL,Mantenimiento de Infraestructura Física (terceros),0,10271.18,15800000,15810271.18,0,0,0,15810271.18
Remanentes,51101055,SG,3570101,RUL,ORUL,Mantenimiento y conservación de maquinaria y equipo,0,2477.82,0,2477.82,0,0,0,2477.82
Remanentes,51101055,SG,3750401,RUL,ORUL,Viáticos en Territorio Nacional,0,14449,0,14449,0,0,0,14449
Remanentes,51101055,SG,3830101,RUL,ORUL,Colaboración para Eventos,0,1233.49,0,1233.49,0,0,0,1233.49
Remanentes,51101055,BMII,5150101,RUL,ORUL,Equipo de cómputo y de tecnologías de la información,0,4292.57,0,4292.57,0,0,0,4292.57
Remanentes,51101055,BMII,5230101,RUL,ORUL,Cámaras fotográficas y de video,0,52.2,0,52.2,0,0,0,52.2
Remanentes,51101055,BMII,5490101,RUL,ORUL,Otros equipos de transporte,0,3187.43,0,3187.43,0,0,0,3187.43
Subsidio federal,51101058,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,27000,0,0,27000,0,0,0,27000
Subsidio federal,51101058,SG,3310101,RUL,ORUL,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",192000,0,0,192000,0,0,0,192000
Subsidio federal,51101058,SG,3610101,RUL,ORUL,Difusión de mensajes sobre programas y actividades institucionales.,16000,0,0,16000,0,0,0,16000
Subsidio federal,51101058,SG,3830101,RUL,ORUL,Colaboración para Eventos,120000,0,0,120000,0,0,0,120000
Ingresos propios no adecuables,51101061,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,110000,0,0,110000,0,0,0,110000
Ingresos propios no adecuables,51101061,MS,2210401,RUL,ORUL,Productos alimenticios para el personal en las instalaciones,130000,0,0,130000,1563.01,0,100187.07,29812.93
Ingresos propios no adecuables,51101061,MS,2710102,RUL,ORUL,Uniformes Deportivos,45000,0,0,45000,0,0,0,45000
Subsidio federal,51101062,SG,3820101,RUL,ORUL,Gastos de orden social y cultural,300000,0,0,300000,3000,0,60000,240000
Subsidio federal,51101063,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,10872,0,267608.34,278480.34,0,0,277184.32,1296.02
Subsidio federal,51101063,MS,2170101,RUL,ORUL,Material didáctico,0,0,62252.71,62252.71,62252.71,0,62252.71,0
Subsidio federal,51101063,MS,2230101,RUL,ORUL,Utensilios para el servicio de alimentación,0,0,30119.4,30119.4,0,0,0,30119.4
Subsidio federal,51101063,MS,2520102,RUL,ORUL,Materiales para jardinería,0,0,80591,80591,80591,0,80591,0
Subsidio federal,51101063,MS,2960101,RUL,ORUL,Refacciones y Accesorios Menores de Equipo de transporte,0,0,974.4,974.4,0,0,974.4,0
Subsidio federal,51101063,SG,3270101,RUL,ORUL,"Patentes, derechos de autor, regalías y otros",0,0,10000,10000,0,0,4551.64,5448.36
Subsidio federal,51101063,SG,3310101,RUL,ORUL,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",5800000,0,-4207716.54,1592283.46,0,0,162400,1429883.46
Subsidio federal,51101063,SG,3520101,RUL,ORUL,Mantenimiento y conservación de mobiliario y equipo de administración,0,0,14865.04,14865.04,0,0,14865.04,0
Subsidio federal,51101063,SG,3550101,RUL,ORUL,Servicios de Mantenimiento de Transporte,0,0,4640,4640,0,0,4640,0
Subsidio federal,51101063,SG,3830101,RUL,ORUL,Colaboración para Eventos,0,0,100000,100000,0,0,19980,80020
Subsidio federal,51101063,BMII,5110101,RUL,ORUL,Mobiliario,0,0,76041.34,76041.34,0,0,76041.34,0
Subsidio federal,51101063,BMII,5150101,RUL,ORUL,Equipo de cómputo y de tecnologías de la información,0,0,194211.85,194211.85,194211.84,0,194211.84,0.01
Subsidio federal,51101064,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,0,0,1999.84,1999.84,0,0,1999.84,0
Subsidio federal,51101064,MS,2940101,RUL,ORUL,Refacciones y Accesorios para equipo de cómputo,0,0,20000,20000,0,0,19744.36,255.64
Subsidio federal,51101064,SG,3710401,RUL,ORUL,Pasajes aéreos nacionales,0,0,8593,8593,0,0,8592,1
Subsidio federal,51101064,SG,3710601,RUL,ORUL,Pasaje aéreos internacionales,0,0,0.16,0.16,0,0,0,0.16
Subsidio federal,51101064,SG,3750401,RUL,ORUL,Viáticos en Territorio Nacional,0,0,4100,4100,0,4100,4100,0
Subsidio federal,51101064,SG,3760201,RUL,ORUL,Viáticos en el extranjero,0,0,82000,82000,0,81408,81408,592
Subsidio federal,51101064,SG,3790102,RUL,ORUL,Gastos de transportación para alumnos e invitados,0,0,143140,143140,0,6800,143140,0
Subsidio federal,51101064,SG,3790103,RUL,ORUL,Gastos de alimentación y  hospedaje  para alumnos e invitados,0,0,0,0,0,0,0,0
Subsidio federal,51101064,SG,3830101,RUL,ORUL,Colaboración para Eventos,0,0,36835,36835,0,0,35325,1510
Subsidio federal,51101064,SG,3830191,RUL,ORUL,Cuotas de inscripción,0,0,0,0,0,0,0,0
Subsidio federal,51199001,SP,1330101,RUL,ORUL,Tiempo Extraordinario,25000,0,0,25000,0,0,0,25000
Subsidio federal,51204001,MS,2110101,RUL,CVIN,Papeleria y Articulos de Oficina,0,0,0,0,0,0,0,0
Subsidio federal,51204001,MS,2170101,RUL,CVIN,Material didáctico,110000,0,-763,109237,0,0,0,109237
Subsidio federal,51204001,MS,2610301,RUL,CVIN,"Combustibles, lubricantes y aditivos",5000,0,-270,4730,0,0,0,4730
Subsidio federal,51204001,MS,2940101,RUL,CVIN,Refacciones y Accesorios para equipo de cómputo,25000,0,0,25000,0,0,0,25000
Subsidio federal,51204001,SG,3180101,RUL,CVIN,Servicio postal,5000,0,0,5000,0,0,895.13,4104.87
Subsidio federal,51204001,SG,3720402,RUL,CVIN,Peajes,5000,0,-1270.97,3729.03,0,0,0,3729.03
Subsidio federal,51299001,SP,1330101,RUL,CVIN,Tiempo Extraordinario,0,0,800,800,0,0,658.52,141.48
Subsidio federal,51302001,MS,2150101,RUL,CCEU,Material de apoyo informativo (áreas administrativas),0,0,4000,4000,0,0,2668,1332
Subsidio federal,51302001,MS,2610301,RUL,CCEU,"Combustibles, lubricantes y aditivos",9250,0,-2588,6662,0,0,0,6662
Subsidio federal,51302001,MS,2910101,RUL,CCEU,Herramientas Menores,10000,0,0,10000,0,0,0,10000
Subsidio federal,51302001,SG,3190201,RUL,CCEU,Contratación de otros servicios,5000,0,0,5000,0,0,0,5000
Subsidio federal,51302001,SG,3310101,RUL,CCEU,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",360000,0,-90000,270000,0,69600,215064,54936
Subsidio federal,51302001,SG,3360401,RUL,CCEU,Impresión y elaboración de material informativo derivado de la operación y administración,38000,0,-2482.72,35517.28,0,0,15553.28,19964
Subsidio federal,51302001,SG,3720402,RUL,CCEU,Peajes,9250,0,-3060,6190,0,0,0,6190
Subsidio federal,51302001,SG,3750401,RUL,CCEU,Viáticos en Territorio Nacional,9250,0,-4224,5026,0,0,0,5026
Subsidio federal,51302001,SG,3830101,RUL,CCEU,Colaboración para Eventos,50000,0,40000,90000,0,0,89157.6,842.4
Subsidio federal,51399001,SP,1330101,RUL,CCEU,Tiempo Extraordinario,9250,0,42625.42,51875.42,6103.08,0,37264.16,14611.26
Subsidio federal,51401001,MS,2110101,RUL,CEA,Papeleria y Articulos de Oficina,0,0,1476,1476,0,0,1475.92,0.08
Subsidio federal,51401001,MS,2210401,RUL,CEA,Productos alimenticios para el personal en las instalaciones,0,0,3574,3574,0,0,2744.04,829.96
Subsidio federal,51401001,MS,2610301,RUL,CEA,"Combustibles, lubricantes y aditivos",10000,0,0,10000,0,0,0,10000
Subsidio federal,51401001,MS,2710102,RUL,CEA,Uniformes Deportivos,40000,0,0,40000,0,0,0,40000
Subsidio federal,51401001,SG,3310101,RUL,CEA,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",25000,0,-22206.78,2793.22,0,0,0,2793.22
Subsidio federal,51401001,SG,3310102,RUL,CEA,"Servicios Profesionales Personas Morales para asesoria asociadas a convenios, tratados o acuerdos",45000,0,0,45000,0,0,0,45000
Subsidio federal,51401001,SG,3360401,RUL,CEA,Impresión y elaboración de material informativo derivado de la operación y administración,0,0,30261.2,30261.2,0,0,29829.4,431.8
Subsidio federal,51401001,SG,3360501,RUL,CEA,Información en medios masivos derivada de la operación y administración,25000,0,0,25000,0,0,0,25000
Subsidio federal,51401001,SG,3790102,RUL,CEA,Gastos de transportación para alumnos e invitados,20000,0,-18923,1077,0,0,0,1077
Subsidio federal,51401001,SG,3830101,RUL,CEA,Colaboración para Eventos,185000,0,-59911.4,125088.6,0,0,103249.35,21839.25
Subsidio federal,51401004,MS,2110101,RUL,CEA,Papeleria y Articulos de Oficina,2000,0,-2000,0,0,0,0,0
Subsidio federal,51401004,MS,2210401,RUL,CEA,Productos alimenticios para el personal en las instalaciones,98499.99,0,-77333,21166.99,0,0,0,21166.99
Subsidio federal,51401004,MS,2430101,RUL,CEA,"Cal, yeso y productos de yeso",1000,0,0,1000,0,0,0,1000
Subsidio federal,51401004,MS,2610301,RUL,CEA,"Combustibles, lubricantes y aditivos",21000,0,-10000,11000,0,0,0,11000
Subsidio federal,51401004,MS,2710102,RUL,CEA,Uniformes Deportivos,21500,0,0,21500,0,0,18560,2940
Subsidio federal,51401004,MS,2730101,RUL,CEA,Material y Equipo para practicas deportivas,5000,0,41695,46695,0,0,46597.2,97.8
Subsidio federal,51401004,MS,2730102,RUL,CEA,Eventos deportivos,10000,0,-10000,0,0,0,0,0
Subsidio federal,51401004,SG,3310101,RUL,CEA,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",49000,0,18628,67628,0,0,67628,0
Subsidio federal,51401004,SG,3360401,RUL,CEA,Impresión y elaboración de material informativo derivado de la operación y administración,5000.01,0,0,5000.01,0,0,0,5000.01
Subsidio federal,51401004,SG,3720402,RUL,CEA,Peajes,7000,0,0,7000,0,0,0,7000
Subsidio federal,51401004,SG,3750401,RUL,CEA,Viáticos en Territorio Nacional,10000,0,-5181.1,4818.9,0,0,0,4818.9
Subsidio federal,51401004,SG,3830101,RUL,CEA,Colaboración para Eventos,15000,0,-10000,5000,0,0,0,5000
Subsidio federal,51499001,SP,1330101,RUL,CEA,Tiempo Extraordinario,0,0,3200,3200,0,0,0,3200
Subsidio federal,51502001,MS,2110101,RUL,CCV,Papeleria y Articulos de Oficina,20000,0,-1574.8,18425.2,0,0,7574.8,10850.4
Subsidio federal,51502001,MS,2140101,RUL,CCV,Materiales y útiles para el procesamiento en equipos y bienes informáticos,12147.18,0,0,12147.18,0,0,0,12147.18
Subsidio federal,51502001,MS,2150208,RUL,CCV,Software no especializado,47602.64,0,0,47602.64,0,0,21090.06,26512.58
Subsidio federal,51502001,MS,2610301,RUL,CCV,"Combustibles, lubricantes y aditivos",2000,0,0,2000,0,0,0,2000
Subsidio federal,51502001,MS,2940101,RUL,CCV,Refacciones y Accesorios para equipo de cómputo,0,0,13270.4,13270.4,0,0,13189.84,80.56
Subsidio federal,51502001,SG,3330101,RUL,CCV,Servicios Profesionales Personas Físicas para servicios de desarrollo de aplicaciones informaticas,156600,0,-28710,127890,0,17980,107880,20010
Subsidio federal,51502001,SG,3330401,RUL,CCV,Servicios Profesionales Personas Físicas para servicios de mantenimiento de aplicaciones informaticas,255200,0,-100000,155200,0,0,0,155200
Subsidio federal,51502001,SG,3530101,RUL,CCV,Mantenimiento y conservación de bienes informáticos,16000,0,-13270.4,2729.6,0,0,0,2729.6
Subsidio federal,51502001,SG,3720402,RUL,CCV,Peajes,2000,0,0,2000,0,0,0,2000
Subsidio federal,51502001,BMII,5110101,RUL,CCV,Mobiliario,6000,0,-6000,0,0,0,0,0
Subsidio federal,51502001,BMII,5150101,RUL,CCV,Equipo de cómputo y de tecnologías de la información,82450.18,0,12669.82,95120,0,0,95120,0
Subsidio federal,51601001,MS,2110101,RUL,CPII,Papeleria y Articulos de Oficina,10000,0,-1856,8144,0,0,0,8144
Subsidio federal,51601001,MS,2480101,RUL,CPII,Materiales complementarios,0,0,3584.4,3584.4,0,0,3089.54,494.86
Subsidio federal,51601001,SG,3310101,RUL,CPII,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",75000,0,-31875.95,43124.05,0,0,0,43124.05
Subsidio federal,51601001,SG,3360401,RUL,CPII,Impresión y elaboración de material informativo derivado de la operación y administración,0,0,1856,1856,0,0,1856,0
Subsidio federal,51601001,SG,3830101,RUL,CPII,Colaboración para Eventos,65000,0,-13710.17,51289.83,0,0,30624,20665.83
Subsidio federal,51601002,MS,2110101,RUL,CPII,Papeleria y Articulos de Oficina,0,0,20000,20000,0,0,18764.16,1235.84
Subsidio federal,51601002,MS,2940101,RUL,CPII,Refacciones y Accesorios para equipo de cómputo,0,0,2494,2494,0,0,2494,0
Subsidio federal,51601002,SG,3610101,RUL,CPII,Difusión de mensajes sobre programas y actividades institucionales.,20000,0,-20000,0,0,0,0,0
Subsidio federal,51601002,BMII,5110101,RUL,CPII,Mobiliario,0,0,19718.84,19718.84,0,0,19718.84,0
Subsidio federal,51601002,BMII,5150101,RUL,CPII,Equipo de cómputo y de tecnologías de la información,60000,0,-60000,0,0,0,0,0
Subsidio federal,51601002,BMII,5230101,RUL,CPII,Cámaras fotográficas y de video,0,0,96860,96860,0,0,96860,0
Subsidio federal,51701001,MS,2110101,RUL,CBUG,Papeleria y Articulos de Oficina,20000,0,-18432.79,1567.21,0,0,1567.21,0
Subsidio federal,51701001,MS,2210401,RUL,CBUG,Productos alimenticios para el personal en las instalaciones,17499.99,0,-16542.99,957,0,0,957,0
Subsidio federal,51701001,MS,2530101,RUL,CBUG,Medicinas y productos farmacéuticos,43000,0,-4973.76,38026.24,0,0,15082.97,22943.27
Subsidio federal,51701001,MS,2710101,RUL,CBUG,Ropa de trabajo,0,0,2494.35,2494.35,910.6,0,2494.35,0
Subsidio federal,51701001,SG,3310101,RUL,CBUG,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",0,0,61000,61000,0,0,60552,448
Subsidio federal,51701001,SG,3310102,RUL,CBUG,"Servicios Profesionales Personas Morales para asesoria asociadas a convenios, tratados o acuerdos",20000,0,-20000,0,0,0,0,0
Subsidio federal,51701001,SG,3360401,RUL,CBUG,Impresión y elaboración de material informativo derivado de la operación y administración,0,0,13640.44,13640.44,0,0,13640.44,0
Subsidio federal,51701001,SG,3830101,RUL,CBUG,Colaboración para Eventos,74500,0,-68220.37,6279.63,0,0,0,6279.63
Subsidio federal,51701001,BMII,5110101,RUL,CBUG,Mobiliario,0,0,12354,12354,0,0,12354,0
Subsidio federal,51701001,BMII,5150101,RUL,CBUG,Equipo de cómputo y de tecnologías de la información,25000,0,-25000,0,0,0,0,0
Subsidio federal,51701002,SG,3310101,RUL,CBUG,"Servicios Profesionales Personas Físicas para asesoria asociadas a convenios, tratados o acuerdos",50000,0,4631.7,54631.7,0,27082.19,54164.39,467.31
Subsidio federal,51701004,SG,3830101,RUL,CBUG,Colaboración para Eventos,50000,0,-11067.2,38932.8,0,0,22000,16932.8
Subsidio federal,52101022,MS,2110101,DCBI,ODCBI,Papeleria y Articulos de Oficina,45000,0,-26600,18400,0.01,0,14822.76,3577.24
Subsidio federal,52101022,MS,2140101,DCBI,ODCBI,Materiales y útiles para el procesamiento en equipos y bienes informáticos,70000,0,-15965.54,54034.46,0,0,7247.68,46786.78
Subsidio federal,52101022,MS,2210401,DCBI,ODCBI,Productos alimenticios para el personal en las instalaciones,12000,0,-1447,10553,0,0,2609.13,7943.87
Subsidio federal,52101022,MS,2230101,DCBI,ODCBI,Utensilios para el servicio de alimentación,0,0,26600,26600,0,0,23366.28,3233.72
Subsidio federal,52101022,MS,2610301,DCBI,ODCBI,"Combustibles, lubricantes y aditivos",22000,0,0,22000,1484,0,7460,14540
Subsidio federal,52101022,MS,2920101,DCBI,ODCBI,Refacciones y Accesorios Menores de edificios,2000,0,0,2000,0,0,0,2000
Subsidio federal,52101022,MS,2940101,DCBI,ODCBI,Refacciones y Accesorios para equipo de cómputo,30000,0,0,30000,0,0,4970.6,25029.4
Subsidio federal,52101022,SG,3330301,DCBI,ODCBI,Servicios Profesionales Personas Físicas para servicios relacionados con certificacion de procesos,130800,0,-39150,91650,0,0,0,91650
Subsidio federal,52101022,SG,3520101,DCBI,ODCBI,Mantenimiento y conservación de mobiliario y equipo de administración,5000,0,0,5000,0,0,0,5000
Subsidio federal,52101022,SG,3580101,DCBI,ODCBI,"Servicio de lavandería, limpieza e higiene",1200,0,0,1200,0,0,0,1200
Subsidio federal,52101022,SG,3610101,DCBI,ODCBI,Difusión de mensajes sobre programas y actividades institucionales.,40000,0,30500,70500,19794.82,0,47924.82,22575.18
Subsidio federal,52101022,SG,3720402,DCBI,ODCBI,Peajes,22000,0,0,22000,930,0,3630,18370
Subsidio federal,52101023,MS,2110101,DCBI,ODCBI,Papeleria y Articulos de Oficina,30000,0,-9322,20678,0,0,4449.55,16228.45
Subsidio federal,52101023,MS,2210401,DCBI,ODCBI,Productos alimenticios para el personal en las instalaciones,10000,0,0,10000,0,0,2927.83,7072.17
Subsidio federal,52101023,MS,2460101,DCBI,ODCBI,Material eléctrico y electrónico,5000,0,0,5000,0,0,0,5000
Subsidio federal,52101023,MS,2710102,DCBI,ODCBI,Uniformes Deportivos,20000,0,-20000,0,0,0,0,0
Subsidio federal,52101023,MS,2940101,DCBI,ODCBI,Refacciones y Accesorios para equipo de cómputo,30000,0,0,30000,0,0,25245,4755
Subsidio federal,52101023,SG,3270101,DCBI,ODCBI,"Patentes, derechos de autor, regalías y otros",20000,0,2000,22000,0,0,22000,0
Subsidio federal,52101023,SG,3330301,DCBI,ODCBI,Servicios Profesionales Personas Físicas para servicios relacionados con certificacion de procesos,185000,0,0,185000,0,0,55680,129320
Subsidio federal,52101023,SG,3710401,DCBI,ODCBI,Pasajes aéreos nacionales,20000,0,0,20000,0,0,5863,14137
Subsidio federal,52101023,SG,3720401,DCBI,ODCBI,Pasajes terrestres nacionales,5000,0,0,5000,0,0,0,5000
Subsidio federal,52101023,SG,3750401,DCBI,ODCBI,Viáticos en Territorio Nacional,65000,0,0,65000,0,0,28468.37,36531.63
Subsidio federal,52101023,SG,3820101,DCBI,ODCBI,Gastos de orden social y cultural,30000,0,0,30000,0,0,0,30000
Subsidio federal,52101023,SG,3830101,DCBI,ODCBI,Colaboración para Eventos,30000,0,37000,67000,0,48000,57700,9300
Subsidio federal,52101025,MS,2110101,DCBI,ODCBI,Papeleria y Articulos de Oficina,100000,0,-70330,29670,0,0,2650.6,27019.4
Subsidio federal,52101025,MS,2460101,DCBI,ODCBI,Material eléctrico y electrónico,80000,0,-30000,50000,0,0,16201.89,33798.11
Subsidio federal,52101025,MS,2550101,DCBI,ODCBI,"Materiales, accesorios y suministros de laboratorio",200000,0,-119208,80792,6074.37,0,31958.84,48833.16
Subsidio federal,52101025,MS,2610301,DCBI,ODCBI,"Combustibles, lubricantes y aditivos",8000,0,0,8000,0,0,0,8000
Subsidio federal,52101025,MS,2910101,DCBI,ODCBI,Herramientas Menores,20000,0,-3000,17000,0,0,1374.6,15625.4
Subsidio federal,52101025,MS,2930101,DCBI,ODCBI,"Refacciones y Accesorios Menores de  mobiliario, equipo de administración, educacional y recreativo",6665,0,10100,16765,0,0,16545.64,219.36
Subsidio federal,52101025,MS,2940101,DCBI,ODCBI,Refacciones y Accesorios para equipo de cómputo,170000,0,-86315.21,83684.79,0.01,0,18560.52,65124.27
Subsidio federal,52101025,SG,3360201,DCBI,ODCBI,Otros servicios comerciales,350000.01,0,-350000.01,0,0,0,0,0
Subsidio federal,52101025,SG,3720402,DCBI,ODCBI,Peajes,7000,0,0,7000,0,0,0,7000
Subsidio federal,52101025,SG,3750401,DCBI,ODCBI,Viáticos en Territorio Nacional,10000,0,0,10000,0,0,0,10000
Subsidio federal,52101025,SG,3790102,DCBI,ODCBI,Gastos de transportación para alumnos e invitados,10000,0,4999.91,14999.91,0,0,14000,999.91
Subsidio federal,52101025,SG,3790103,DCBI,ODCBI,Gastos de alimentación y  hospedaje  para alumnos e invitados,10000,0,0,10000,0,0,7658,2342
Subsidio federal,52101025,TAS,4410301,DCBI,ODCBI,"PREMIOS, RECOMPENSAS, PENSIONES DE GRACIA Y PENSION RECREATIVA ESTUDIANTIL.",33335,0,0,33335,0,0,0,33335
Subsidio federal,52101025,BMII,5150101,DCBI,ODCBI,Equipo de cómputo y de tecnologías de la información,230000,0,811975.57,1041975.57,0,0,1035410.34,6565.23
Subsidio federal,52101025,BMII,5210102,DCBI,ODCBI,Equipo de Videoconferencia y Unidad Multipunto,0,0,19180,19180,0,0,19128.4,51.6
Ingresos propios adecuables,52101031,MS,2210401,DCBI,ODCBI,Productos alimenticios para el personal en las instalaciones,0,9976.44,1,9977.44,0,0,0,9977.44
Remanentes,52101033,MS,2210401,DCBI,ODCBI,Productos alimenticios para el personal en las instalaciones,0,5000,-5000,0,0,0,0,0
Remanentes,52101033,MS,2550101,DCBI,ODCBI,"Materiales, accesorios y suministros de laboratorio",0,20000,92880,112880,0,0,112439.96,440.04
Remanentes,52101033,SG,3360401,DCBI,ODCBI,Impresión y elaboración de material informativo derivado de la operación y administración,0,10000,-10000,0,0,0,0,0
